parcel_id,latitude,longitude
358960292,40.3472786,-111.9347122
672460128,40.0756912,-111.6640019
140500120,40.3515351,-111.7487624
347960142,40.0745261,-111.7000994
544721368,40.0651693,-111.638887
690941228,40.3967727,-111.949669
691050001,40.1420738,-111.558016
348020153,40.0622432,-111.7025337
346940170,40.3619848,-111.8234923
394130014,40.0425343,-111.6544341
682440811,40.375382,-111.9537015
691024557,40.3972716,-111.9668876
580480157,40.3589518,-112.0283851
580410339,40.3446734,-111.9475063
358960231,40.3470049,-111.9381817
240410057,40.1401476,-111.6738673
358960149,40.346449,-111.9379268
518340235,40.0974916,-111.6489599
347960173,40.074847,-111.6984806
348020138,40.0620092,-111.7034496
537030051,39.9635629,-111.8181193
486102402,40.2956894,-111.7408265
250340047,40.0930529,-111.7096107
140670203,40.342472,-111.7280099
516930033,40.4767368,-111.7672391
682550535,40.3502324,-111.9868655
387430108,40.1068037,-111.6745975
700505195,40.2951965,-112.0008984
358960245,40.3462514,-111.9386967
210150036,40.2439075,-111.6839245
700505193,40.295194,-112.0004826
682481026,40.0893843,-111.5790266
387430118,40.1068072,-111.6739766
358960151,40.345764,-111.9379337
250690132,40.0775512,-111.6609871
518320062,40.0911376,-111.6599741
290490056,40.0704075,-111.6236264
300850056,40.0096897,-111.7340997
300890500,40.0120037,-111.7536369
358960153,40.3453208,-111.9379308
358960189,40.3473151,-111.9350667
394091000,40.2918698,-112.081394
518390713,40.4025289,-111.9058699
070300027,40.1093523,-111.6574418
394090919,40.2926585,-112.0827425
700490211,40.1050931,-111.6059444
290360124,39.9917372,-111.8108058
358960145,40.3457503,-111.937557
130670137,40.3502829,-111.8009855
030720038,40.3698301,-111.7298398
180210032,40.2906658,-111.7451607
348000108,40.1558411,-111.6562701
691070340,40.3645505,-111.9057076
710880112,40.2107041,-111.625278
690984040,40.3975118,-111.9608324
691024519,40.3976635,-111.9680552
240680080,40.1049251,-111.7551766
710720002,40.3851999,-111.8457035
544690901,40.0667513,-111.7076154
657890019,39.9786791,-111.7759678
518320153,40.0909029,-111.6586404
700505104,40.2923365,-111.9986793
462200005,40.2624525,-111.6714529
100460009,40.2638591,-112.086593
525570037,40.3779482,-111.9410777
050150026,40.230287,-111.6547653
130410139,40.3765907,-111.8293422
690984062,40.3974529,-111.9568768
657870090,40.031364,-111.6749692
544710354,40.0710165,-111.636057
580200550,40.4122164,-111.8979599
682530018,40.4447219,-111.8029747
358980302,40.3628734,-111.7118656
682491437,40.2996933,-112.0231002
682461105,40.025344,-111.769404
518310003,40.3558756,-111.7228356
260470207,40.1457444,-111.6393671
010310017,40.3867841,-111.8554027
010310019,40.3870247,-111.8554162
010310021,40.3873715,-111.8554289
010470002,40.3891859,-111.8526496
010470003,40.3891785,-111.8529733
010470004,40.3893939,-111.853491
010470005,40.3891671,-111.8532332
010470006,40.3891597,-111.8535559
010470007,40.3896446,-111.8534378
010470008,40.3898968,-111.8532693
010040019,40.3825781,-111.8559555
010040022,40.3822699,-111.8560039
010040024,40.3822736,-111.8565921
010050001,40.3869959,-111.8571055
010190004,40.3862053,-111.8549863
010190005,40.3862145,-111.8546621
010190006,40.3862235,-111.8543386
